,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Households,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Income,,,,,,,,,,,,,,,,,,,,,,,,,,
Topic: Household Characteristics,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Resident Households by Monthly Household Employment Income (Including Employer CPF Contributions), 2000 - 2024 (Household Employment Income, Annual)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 13/02/2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Per Cent,
Monthly Household Employment Income (Including Employer CPF Contributions),2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,
Total,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,
  No Employed Person,13.7,12.8,12.5,11.8,13.3,13.2,12.1,11.8,10.8,9.7,10.4,9.4,9.2,9.3,10.5,9.6,8.6,8.6,9,10,9.8,9.7,9,6.9,8.6,
    Solely Non-Employed Persons Aged 65 Years & Over,8.8,8,7.6,7.1,7.5,7.9,7.1,6.9,6.1,5.3,5.7,4.9,4.7,4.5,4.1,4,3.8,4.1,4.1,3.5,3.7,3.6,3,2.3,2.6,
"  Below $1,000",1.2,1.4,1.3,2,2,1.8,1.9,1.9,2,2,2.3,2.7,3,3.2,3.5,4.1,3.8,4.3,4.4,4.3,4.3,4.6,4,3.9,3.3,
"  $1,000 - $1,999",4.2,4.3,4.4,5,5.1,5.1,5.3,5.4,5.5,5.7,5.9,6.2,6.2,6.5,7,7.8,8.3,9.8,10.5,10.9,11.4,11.1,11.5,11.1,12.2,
"  $2,000 - $2,999",3.9,3.8,4.4,4.8,5.1,4.9,5.2,5.1,5.4,5.8,5.8,6.3,6.3,7.1,8.2,8.6,8.6,10,11.2,11.4,12.2,11.9,12.5,12.7,13.2,
"  $3,000 - $3,999",4.6,4.7,5.2,5.7,5.4,5.2,5.2,5.5,5.3,5.5,6,6.7,6.6,7.6,8.3,8.9,8.5,9.7,10.8,10.7,11.4,11.7,11.6,11.5,12.6,
"  $4,000 - $4,999",3.8,4.4,5,5,5.2,5.4,5.3,5.2,5.4,5.9,5.9,6.3,7,7.2,7.9,8.1,8.4,8.8,8.9,9.1,9.6,9.4,9.5,9.8,10.2,
"  $5,000 - $5,999",4.3,4.4,5,5.1,5.4,4.9,5.4,5.4,5.9,5.7,6.1,6.4,6.8,7,7.4,7.5,7.3,7.7,8.1,7.9,7.9,7.9,8.1,8.3,8.3,
"  $6,000 - $6,999",4.1,4.3,4.6,4.8,5,4.9,5.2,5.2,5.8,5.8,5.8,5.8,6.1,6.5,6.7,6.9,6.4,6.8,6.9,6.4,6.3,6.9,6.4,6.7,6.7,
"  $7,000 - $7,999",3.9,4.3,4.6,4.7,4.8,4.6,4.6,5.2,5.1,5.3,5.4,5.6,5.8,6,5.7,5.7,5.9,5.7,5.3,5.4,5.3,4.9,5.1,5.3,5.1,
"  $8,000 - $8,999",4,4.3,4.6,4.7,4.6,4.6,4.7,5,4.9,5.3,5.1,5.1,5.4,5.4,5.1,4.7,5.1,4.7,4.4,4.5,4.1,4,4.3,4.3,4,
"  $9,000 - $9,999",4.1,4.2,4,4.4,4.4,4.1,4.4,4.6,4.6,4.8,4.7,4.6,4.7,4.7,4.2,4.1,4.1,3.8,3.5,3.4,3.3,3.4,3.3,3.5,3.1,
"  $10,000 - $10,999",4,4.1,4.1,4.1,4,4.2,4.3,4.3,4.6,4.3,4.7,4.4,4.1,4.1,3.8,3.7,3.8,3.3,2.9,2.8,2.7,2.7,2.8,2.9,2.4,
