UNSECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
DEC'23,"$2,722","$4,460","$5,838","$6,862","$7,387","$7,251","$4,815",,DEC'23,1.970%,2.740%,3.520%,3.910%,3.870%,3.710%,2.760%,,DEC'23,0.110%,0.120%,0.107%,0.100%,0.084%,0.062%,0.053%
JAN'24,"$2,525","$4,159","$5,563","$6,712","$7,304","$7,379","$5,002",,JAN'24,1.870%,2.530%,3.320%,3.840%,3.880%,3.720%,2.800%,,JAN'24,0.115%,0.121%,0.125%,0.102%,0.084%,0.073%,0.064%
FEB'24,"$2,374","$3,928","$5,336","$6,460","$7,027","$7,153","$4,862",,FEB'24,1.870%,2.630%,3.390%,3.930%,4.040%,3.940%,2.940%,,FEB'24,0.101%,0.126%,0.121%,0.104%,0.082%,0.078%,0.058%
MAR'24,"$2,386","$3,932","$5,314","$6,436","$6,945","$7,052","$4,779",,MAR'24,1.840%,2.580%,3.320%,3.810%,3.880%,3.780%,2.800%,,MAR'24,0.125%,0.146%,0.124%,0.122%,0.093%,0.082%,0.059%
APR'24,"$2,489","$4,068","$5,438","$6,535","$7,072","$7,162","$4,864",,APR'24,1.830%,2.510%,3.190%,3.740%,3.730%,3.620%,2.690%,,APR'24,0.125%,0.135%,0.131%,0.105%,0.101%,0.068%,0.059%
MAY'24,"$2,463","$4,033","$5,417","$6,518","$7,045","$7,098","$4,825",,MAY'24,1.840%,2.490%,3.180%,3.630%,3.590%,3.390%,2.450%,,MAY'24,0.138%,0.151%,0.138%,0.141%,0.178%,0.235%,0.232%
JUN'24,"$2,574","$4,204","$5,626","$6,679","$6,855","$6,499","$4,039",,JUN'24,1.880%,2.550%,3.250%,3.740%,3.750%,3.470%,2.530%,,JUN'24,0.132%,0.148%,0.136%,0.117%,0.091%,0.076%,0.057%
JUL'24,"$2,556","$4,158","$5,559","$6,557","$6,741","$6,386","$3,978",,JUL'24,1.920%,2.530%,3.230%,3.680%,3.520%,3.270%,2.330%,,JUL'24,0.126%,0.159%,0.191%,0.233%,0.281%,0.294%,0.273%
AUG'24,"$2,611","$4,193","$5,563","$6,497","$6,599","$6,259","$3,846",,AUG'24,1.920%,2.540%,3.250%,3.670%,3.550%,3.290%,2.330%,,AUG'24,0.137%,0.134%,0.125%,0.123%,0.099%,0.071%,0.053%
SEP'24,"$2,618","$4,250","$5,636","$6,572","$6,669","$6,268","$3,871",,SEP'24,1.840%,2.500%,3.230%,3.670%,3.510%,3.270%,2.290%,,SEP'24,0.131%,0.125%,0.120%,0.125%,0.104%,0.066%,0.062%
OCT'24,"$2,647","$4,312","$5,697","$6,621","$6,705","$6,295","$3,844",,OCT'24,1.870%,2.550%,3.300%,3.680%,3.550%,3.260%,2.310%,,OCT'24,0.117%,0.134%,0.125%,0.118%,0.092%,0.081%,0.055%
NOV'24,"$2,751","$4,502","$5,948","$6,923","$7,010","$6,539","$3,998",,NOV'24,2.110%,2.640%,3.420%,3.790%,3.660%,3.370%,2.400%,,NOV'24,0.125%,0.139%,0.140%,0.125%,0.097%,0.072%,0.057%
DEC'24,"$2,754","$4,529","$6,037","$7,061","$7,177","$6,678","$4,008",,DEC'24,1.950%,2.660%,3.470%,3.900%,3.810%,3.500%,2.690%,,DEC'24,0.114%,0.148%,0.137%,0.126%,0.093%,0.083%,0.059%
AVG,"$2,575","$4,210","$5,613","$6,649","$6,964","$6,771","$4,364",,AVG,1.900%,2.570%,3.310%,3.770%,3.720%,3.510%,2.560%,,AVG,0.123%,0.137%,0.132%,0.126%,0.114%,0.103%,0.088%
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
SECURED CREDIT CARD,,,,,,,,,,,,,,,,,,,,,,,,,
Average Consumer Balances,,,,,,,,,Delinquency,,,,,,,,,Default#,,,,,,,
Age Group,,,,,,,,,Age Group,,,,,,,,,Age Group,,,,,,,
Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54,,Month,21-29,30-34,35-39,40-44,45-49,50-54,>54
