Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2024=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Weights,"10,000","6,438","7,344","7,862","2,042","3,173","1,025",198,906,"2,656",,,,Weights,"10,000","6,438","7,344","7,862","2,042","3,173","1,025",198,906,"2,656"
2025 Jan,99.908,100.27,100.426,99.713,100.875,100.369,99.422,96.866,101.528,98.477,,,,2025 Jan,1.2,0.8,1,1.1,1.5,1,-0.6,-2.9,2.8,1.6
Feb,100.677,100.329,100.373,100.687,100.898,100.327,99.881,96.824,100.688,101.517,,,,Feb,0.9,0.6,0.7,0.8,1,0.8,-0.4,-3.1,1.6,1.6
Mar,100.599,100.194,100.261,100.587,100.95,100.169,99.436,96.735,100.741,101.533,,,,Mar,0.9,0.5,0.7,0.8,1.3,0.6,-0.5,-3.5,2.1,1.4
Apr,100.283,100.648,100.774,100.189,101.07,100.826,100.021,96.686,101.669,98.926,,,,Apr,0.9,0.7,0.8,0.8,1.4,1.1,-1.2,-3.5,1.3,1.1
May,100.978,100.65,100.78,101.075,100.925,100.959,99.937,96.575,101.702,101.525,,,,May,0.8,0.6,0.6,0.8,1.1,1.1,-1,-3.7,1.1,1.1
Jun,100.9,100.566,100.676,100.978,100.865,100.898,99.728,96.512,101.46,101.518,,,,Jun,0.8,0.6,0.7,0.8,1,0.7,0,-3.9,2,1
Jul,100.447,100.432,100.672,100.398,101.05,100.584,99.781,95.002,102.382,99.824,,,,Jul,0.6,0.5,0.7,0.7,1.1,0.7,-0.5,-5.6,2.1,0.5
Aug,100.963,100.49,100.732,101.055,101.137,100.663,99.747,94.938,102.449,101.602,,,,Aug,0.5,0.3,0.6,0.6,1.1,0.4,-0.2,-5.7,2.4,0.4
Sep,101.32,100.753,101.216,101.508,101.307,100.987,100.059,94.883,104.506,101.608,,,,Sep,0.7,0.4,0.8,0.8,1.1,0.3,0.3,-5.8,3.7,0.4
Oct,101.33,101.269,101.827,101.516,101.617,101.798,100.149,95.027,105.786,99.957,,,,Oct,1.2,1.2,1.5,1.5,1.2,1.8,0.4,-4,3.8,0.3
Nov,101.579,101.216,101.533,101.824,101.678,102.015,99.039,94.899,103.788,101.705,,,,Nov,1.2,1.2,1.5,1.5,1.2,1.9,0.3,-4.1,3.5,0.3
Dec,101.854,101.662,101.888,102.164,101.79,102.782,99.272,94.791,103.488,101.761,,,,Dec,1.2,1.2,1.5,1.5,1.2,1.9,0,-4.2,3.7,0.3
2026 Jan,101.333,101.316,101.678,101.498,102.042,101.833,99.913,92.79,104.246,100.38,,,,2026 Jan,1.4,1,1.2,1.8,1.2,1.5,0.5,-4.2,2.7,1.9
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Table A.1,,,,,,,,,,,,,,Table A.2,,,,,,,,,,
Consumer Price Index of Key Categories,,,,,,,,,,,,,,YOY Inflation for Key CPI Categories,,,,,,,,,,
Index (2024=100),,,,,,,,,,,,,,,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Weights,"10,000","6,438","7,344","7,862","2,042","3,173","1,025",198,906,"2,656",,,,Weights,"10,000","6,438","7,344","7,862","2,042","3,173","1,025",198,906,"2,656"
2024 Jan,98.752,99.501,99.411,98.645,99.422,99.354,100.052,99.788,98.777,96.929,,,,2024 Jan,3.1,3.3,3.5,2.9,3.5,3.5,1.7,5.2,4,2.4
