"Table A.1 Consumer Price Index, YOY% Growth Index (2009 = 100)",,,,,,,,,,,,,,"Table A.2 Selected Inflation Indicators, YOY % Growth",,,,,,
Date,All Items,Food,Clothing & Footwear,Housing,Transport,Comms,Education & Stationery,Health Care,Recreation & Others,"All Items, S.A.",,,,Date,CPI,MAS Core Inflation,CPI Less Imputed Rental on OOA,Import Price Index,S&P Non-Energy GSCI Index,Brent Crude Spot Prices
Weights,10000,2205,341,2548,1553,475,735,586,1557,10000,,,,,,,,,,
2012 Dec,4.3,1.5,2.6,6.7,8.2,-1.3,3.5,4.6,1.5,115.2,,,,2012 Dec,4.3,1.9,3.8,-5.7,4.5,-0.8
2013 Jan,3.6,1,1.3,4.4,8.5,-1.3,3.5,3.5,1.6,115.4,,,,2013 Jan,3.6,1.2,2.9,-6,4.1,-2.1
Feb,4.9,2.3,0.5,4.2,13.9,-1.2,3.5,3.3,3.1,116.2,,,,Feb,4.9,1.9,4.6,-4.3,1.7,-4
Mar,3.5,1.8,1.4,4.1,6.9,-1.1,3.5,3.9,2.6,115.8,,,,Mar,3.5,1.7,3,-6.3,-2.2,-13.4
Apr,1.5,1.8,-0.1,1.1,0.5,-1.3,2.9,3.4,2.4,114.8,,,,Apr,1.5,1.4,0.6,-7.1,-3.1,-14.6
May,1.6,2,1.1,3.3,-2.8,-1.4,2.9,4.2,2.8,114.5,,,,May,1.6,1.7,0.8,-4.7,0.6,-6.9
Jun,1.8,2,0.6,3,-1.6,-1.4,2.9,4.3,3,114.7,,,,Jun,1.8,1.7,1.1,-0.9,2.3,7.5
Jul,1.9,2.1,0,1.3,1.7,-1.6,2.9,4,2.7,115.5,,,,Jul,1.9,1.6,1.3,-0.6,-2.1,4.9
Aug,2,2.4,-0.3,2.6,0.2,-1.7,3.3,3.9,3.1,116,,,,Aug,2,1.8,1.6,-1.5,-1.7,-1.8
Sep,1.6,2.4,-1.5,2.3,-1.5,-1.9,3.3,4,3.1,116.1,,,,Sep,1.6,1.7,1.1,-2,-4.5,-1.8
Oct,2,2.5,-1,1.1,2.3,-1.5,3.5,3.7,2.6,116.8,,,,Oct,2,1.8,1.6,-1.4,-3.1,-1.5
Nov,2.6,2.6,2.1,2.3,2.9,-1.5,3.5,3.6,3.1,117.1,,,,Nov,2.6,2.1,2.4,0.3,-2.7,-1.8
Dec,1.5,2.7,-0.1,2,-2.1,-0.9,3.5,3.8,2.7,116.8,,,,Dec,1.5,2,1.2,1.8,-3.2,1.2
2014 Jan,1.4,3,-0.1,1.8,-2.7,-0.5,2.9,3.9,2.9,116.9,,,,2014 Jan,1.4,2.2,1.2,N.A.,-6.3,-4
