"Table A.1 Consumer Price Index, YOY% Growth Index (2014 = 100)",,,,,,,,,,,,,,"Table A.2 Selected Inflation Indicators, YOY % Growth",,,,,,
Date,All Items,Food,Clothing & Footwear,Housing & Utilities,Household Durables & Services,Health Care,Transport,Comms,Recreation & Culture,Education,Miscellaneous Goods & Services,"All-Items, S.A.",,Date,CPI,MAS Core Inflation,CPI Less Imputed Rental on OOA,Import Price Index,S&P Non-Energy GSCI Index,Brent Crude Spot Prices
Weights,10000,2167,273,2625,475,615,1579,385,788,615,478,10000,,,,,,,,
2018 Jan,0,1.1,1,-3.6,1.2,2.3,0.7,0,0.8,2.8,0.5,99.9,,2018 Jan,0,1.4,1,-0.2,5.4,69.1
Feb,0.5,1.5,0.7,-2.1,0.8,2.5,0.6,-0.1,1.6,2.9,0.4,99.7,,Feb,0.5,1.7,1.5,-0.1,4.4,65.3
Mar,0.2,1.4,1.2,-2,0.7,2.1,-0.5,-0.3,0.6,3,1,99.6,,Mar,0.2,1.5,1.2,1.5,5.1,66
Apr,0.1,1.4,0.8,-2.3,0.7,2,-0.7,-1.3,0.7,2.9,0.5,99.9,,Apr,0.1,1.3,0.9,1.7,6.7,72.1
May,0.4,1.3,0.6,-2,0.8,2.3,0,-0.8,1.2,2.9,1.1,99.8,,May,0.4,1.5,1.2,6.6,6.9,77
Jun,0.6,1.5,1.5,-1.8,0.9,2.4,0.3,0.2,1.4,2.9,1.2,99.8,,Jun,0.6,1.7,1.5,9.1,5.6,74.4
Jul,0.6,1.5,2.3,-1,0.5,2,-0.3,0.2,1.7,2.4,0.9,100.2,,Jul,0.6,1.9,1.5,10,-2.8,74.3
Aug,0.7,1.7,2.8,-0.6,0.7,2,-0.2,-1.5,1.6,2.4,1.1,100.1,,Aug,0.7,1.9,1.6,9.2,-1.4,72.5
Sep,0.7,1.6,1.8,-0.5,0.8,2,-0.1,-1.6,1.2,2.9,1.1,100.1,,Sep,0.7,1.8,1.5,9.2,-3.4,78.9
Oct,0.7,1.4,1.2,-0.2,0.9,1.8,-0.5,-1.2,1,3.2,1.1,100.2,,Oct,0.7,1.9,1.5,9.7,-2.4,81
Nov,0.3,1.4,0.8,0,0.7,1.6,-2.8,-3,0.9,3.2,1.4,99.9,,Nov,0.3,1.7,0.9,3.6,-4.1,64.8
Dec,0.5,1.4,2.6,0.1,0.8,1.6,-2.6,-2.7,1.7,3.2,1.4,100,,Dec,0.5,1.9,1.1,-0.7,-2.2,57.4
2019 Jan,0.4,1.4,2.5,-0.5,0.7,1.7,-1.8,-2.9,0.9,3.2,1.4,100.1,,2019 Jan,0.4,1.7,0.9,N.A.,-5,59.4
