"Table A.1 Consumer Price Index of Key Categories, Index (2024 = 100)",,,,,,,,,,,,,,Table A.2 YOY Inflation for Key CPI Categories,,,,,,,,,,
,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation,,,,,All Items, MAS Core,CPI Less Accomodation,CPI Less Imputed Rentals for Housing,Food,Services,Retail & Other Goods,Electricity & Gas,Private Transport,Accommodation
Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197",,,,Weights,"10,000","6,582","7,803","8,250","2,110","3,173","1,111",188,"1,221","2,197"
2023 Jan,111.397,108.195,112.313,111.733,113.743,106.669,100.861,115.037,134.513,108.142,,,,2023 Jan,6.6,5.5,7.1,6.9,8.1,4.2,3.3,11.5,14.3,5
Feb,112.019,108.173,112.622,112.444,113.818,106.27,101.676,115.321,136.608,109.876,,,,Feb,6.3,5.5,6.7,6.5,8.1,3.9,3.8,12.1,12.1,4.9
Mar,112.583,108.441,113.233,113.035,114.243,106.424,101.858,116.237,139.066,110.274,,,,Mar,5.5,5,5.7,5.6,7.7,3.4,3.3,12.2,8.6,4.8
Apr,112.669,108.856,114.019,113.058,114.636,107.085,102.214,113.105,141.854,107.873,,,,Apr,5.7,5,6,5.9,7.1,4.3,2.9,2.7,10.4,4.9
May,113.034,108.957,113.615,113.422,115.061,107.072,101.918,113.89,138.723,110.971,,,,May,5.1,4.7,5.2,5.1,6.8,3.9,2.8,3.3,7.2,4.7
Jun,113.576,109.163,114.219,114.002,115.101,107.513,101.811,113.784,141.475,111.293,,,,Jun,4.5,4.2,4.5,4.5,5.9,3.6,2.7,3.1,5.8,4.5
Jul,113.309,109.383,114.202,113.562,115.293,107.744,101.976,114.494,140.174,110.139,,,,Jul,4.1,3.8,4,4,5.3,3.6,2.6,-1.6,4.8,4.6
Aug,114.303,109.465,114.845,114.685,115.479,107.829,101.874,114.415,143.849,112.378,,,,Aug,4,3.4,3.9,3.9,4.8,3.1,2,-1.4,6.3,4.4
Sep,114.88,109.602,115.495,115.312,115.649,108.146,101.423,114.664,147.267,112.694,,,,Sep,4.1,3,4.1,4.1,4.3,3.1,0.9,-1.4,8.5,4.3
Oct,115.111,110.033,116.226,115.521,115.855,108.61,101.832,117.147,149.612,111.151,,,,Oct,4.7,3.3,4.9,4.9,4.1,3.4,1.6,1.8,11.7,4.2
Nov,114.91,110.154,115.369,115.223,116.248,108.809,101.242,117.157,143.478,113.281,,,,Nov,3.6,3.2,3.4,3.4,4,3.5,1,1.5,4.2,4.1
Dec,115.343,110.866,115.844,115.684,116.34,110.241,101.191,117.168,142.681,113.562,,,,Dec,3.7,3.3,3.6,3.7,3.7,3.9,1.1,1.3,5,4.1
2024 Jan,114.572,111.531,115.728,114.686,117.532,110.226,102.236,121.122,138.351,110.467,,,,2024 Jan,2.9,3.1,3,2.6,3.3,3.3,1.4,5.3,2.9,2.1
