,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Subject: Household Sector Economic Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Topic: Household Net Worth, Assets and Liabilities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Table Title: Household Sector Balance Sheet (End Of Period), Quarterly",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/11/2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SINGAPORE DEPARTMENT OF STATISTICS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Dollars
Data Series,2025 3Q ,2025 2Q ,2025 1Q ,2024 4Q ,2024 3Q ,2024 2Q ,2024 1Q ,2023 4Q ,2023 3Q ,2023 2Q ,2023 1Q ,2022 4Q ,2022 3Q ,2022 2Q ,2022 1Q ,2021 4Q ,2021 3Q ,2021 2Q ,2021 1Q ,2020 4Q ,2020 3Q ,2020 2Q ,2020 1Q ,2019 4Q ,2019 3Q ,2019 2Q ,2019 1Q ,2018 4Q ,2018 3Q ,2018 2Q ,2018 1Q ,2017 4Q ,2017 3Q ,2017 2Q ,2017 1Q ,2016 4Q ,2016 3Q ,2016 2Q ,2016 1Q ,2015 4Q ,2015 3Q ,2015 2Q ,2015 1Q ,2014 4Q ,2014 3Q ,2014 2Q ,2014 1Q ,2013 4Q ,2013 3Q ,2013 2Q ,2013 1Q ,2012 4Q ,2012 3Q ,2012 2Q ,2012 1Q ,2011 4Q ,2011 3Q ,2011 2Q ,2011 1Q ,2010 4Q ,2010 3Q ,2010 2Q ,2010 1Q ,2009 4Q ,2009 3Q ,2009 2Q ,2009 1Q ,2008 4Q ,2008 3Q ,2008 2Q ,2008 1Q ,2007 4Q ,2007 3Q ,2007 2Q ,2007 1Q ,2006 4Q ,2006 3Q ,2006 2Q ,2006 1Q ,2005 4Q ,2005 3Q ,2005 2Q ,2005 1Q ,2004 4Q ,2004 3Q ,2004 2Q ,2004 1Q ,2003 4Q ,2003 3Q ,2003 2Q ,2003 1Q ,2002 4Q ,2002 3Q ,2002 2Q ,2002 1Q ,2001 4Q ,2001 3Q ,2001 2Q ,2001 1Q ,2000 4Q ,2000 3Q ,2000 2Q ,2000 1Q ,1999 4Q ,1999 3Q ,1999 2Q ,1999 1Q ,1998 4Q ,1998 3Q ,1998 2Q ,1998 1Q ,1997 4Q ,1997 3Q ,1997 2Q ,1997 1Q ,1996 4Q ,1996 3Q ,1996 2Q ,1996 1Q ,1995 4Q ,1995 3Q ,1995 2Q ,1995 1Q 
Household Net Worth,3256083.9,3185722.3,3132070.3,3071534.9,2989786,2943075.7,2889337.2,2819555.5,2737488.2,2711646.3,2665311,2582632.5,2534367.7,2491100.9,2457177.2,2412911.2,2347352.7,2309115,2256294.4,2174415.7,2102677.2,2065808.4,1999898.2,1994647.3,1943644.5,1917191.3,1876836.9,1825181.2,1823899.1,1810882.9,1775409.9,1734730.7,1705223.2,1682447.3,1658881.3,1622621.1,1597440.9,1572030.8,1552085.5,1520002.8,1500617.2,1500111.9,1491847.5,1464290.7,1457222,1454547.8,1436964.2,1426405.8,1427193.9,1411418.4,1401950,1369677.1,1338147.7,1311069.3,1302277.2,1266493.3,1250589.4,1237120.9,1212810.9,1186675.2,1154322.8,1109854.7,1075149.2,1032077,988773.5,922484.6,892711.1,912662.1,928207.9,939018.8,931119.3,914584,889576.8,854486.3,804254.5,770051.6,745528.6,727244.2,717603,697837,687460.1,669918.2,668548,660912,645641.4,634391.8,621600,606888.7,596837,581458.2,564061.5,557910.4,555381.9,542722.1,545607.6,541694.5,543291.3,549132,550917.5,557471.2,565171.7,566245.4,567346.2,558525.3,538144.1,506279.1,476222.6,464607,472220.8,484700.7,505706.5,523621.4,543169.1,548910.7,549216.8,551794.9,547028.2,543865.9,510538.7,484523.2,459769.8,446449.3,423872.4
  Assets,3654690.6,3576121.9,3515603.8,3451038.3,3363782.9,3311399.2,3254297.1,3183842.3,3098762.3,3071491.6,3023813.8,2943035.1,2897769.1,2852882.9,2815832.2,2770433.4,2699391.2,2653126.2,2594106.3,2507419.6,2431985.7,2393302.5,2332706.4,2333968.2,2282091.7,2257080,2219427.6,2169731.7,2168119.5,2154544.8,2118140.1,2075155,2039745.1,2012412.8,1985339.9,1947223.5,1921163.2,1892253.9,1868619.9,1837152.6,1815398.9,1813109.4,1803622.2,1774412.6,1763755,1756587.6,1734131.3,1720803,1716248.6,1696235.6,1682387,1645113.5,1605339.5,1570308.6,1554946.3,1513456.6,1491956.7,1470749,1437007.7,1406084.4,1366915.1,1315903.4,1275175.1,1229331.1,1180894.4,1111461.1,1078625,1098371,1112500.7,1120959.8,1109903.3,1092722.5,1063759.7,1023238.2,970580.1,935631.3,910519.8,892152,882823.9,863849.3,853271.2,834980.5,833398.2,825593.1,809806.3,797760.9,783949.9,769013.4,757341.5,740564,721841.6,712802.9,708778.7,695145.6,696902.6,692868.4,692482.6,696113.5,696326.4,700950.8,705589.5,703449,701845.5,690113.3,666872.4,631805.9,598548.4,584636.9,588432.8,598230.9,615858.9,631344.6,647985.8,649285.8,645499.1,644340,636164.8,629778.9,591982.7,561956.3,533291.8,516303,490433.1
    Financial Assets,2071113.6,2014720.8,1976253.4,1941342.5,1891823.3,1854014,1826017.3,1789359.2,1746800.5,1733597.5,1701411.9,1665273.2,1637019.5,1628205.7,1632207.9,1606113.1,1582178.1,1560161.1,1522175.8,1481185.7,1431344.5,1411812.8,1354123.1,1352547.9,1310174.1,1300452.9,1270399.8,1222766.2,1219584.3,1212424.2,1200736.5,1180615,1152762.6,1136981.6,1115664.4,1084998.5,1065900.5,1041222.5,1024933.7,1003662.9,983761.9,987980.6,979802,955702.1,939825.1,930294.7,909541.3,892387.5,879357.4,860405,859179.8,831923.6,812083.9,790684.3,786852.4,753350.5,740862.5,742771.4,732331.2,716733.4,700983.8,676261.4,668041.6,653274.8,637771.2,609438,573259.5,558754.6,566177.6,580997.2,583150,586623,584418,576573.3,548697.1,527853.8,511100.6,495880.7,492522.3,479638.9,473088.9,461595.7,451901.6,443874.4,433227.2,419983.6,412114.6,398333.9,389293.6,373813.4,359575.1,352908.7,349804.6,346101.9,348838.6,342703.4,336072.1,335360,330563.4,324467,323550.2,322669.2,323093.9,325394.7,315835.9,313945.9,302387.5,295263.4,283642.9,277377.8,276727.5,268401,268141,262629.2,257926.1,252394.4,245593.5,242201.4,237159.1,229317,220333.3,211013.8,202671.6
      Currency & Deposits,696102,680153.3,670118.3,658160.1,633074.6,629367.5,623478,611413.5,607162.2,606246.1,589556.9,571190.3,569251,566634.7,562648,543427.2,535065.8,528895.6,524713.7,517148.8,508124.2,506564.5,493950.9,475911.7,466414.1,461905.5,455015.2,440065,433988.1,433096.3,427806.6,419107.5,413473.9,411532.2,407974.7,400286.5,389115.4,380657,377826.8,370168.5,365052.6,362709.9,359671.1,346339.2,339981.7,338503.1,333366.6,326438.3,321670.4,315874.5,314331.8,301884.7,294838.6,288431.4,285833.1,277186.7,270319.5,261305.7,254991.4,250034.3,245800.1,240230,237753,231722.7,228803.4,227766.8,223886.6,214892,208690.2,206926.2,205039.6,195886.6,190537.9,187934.1,180504.3,171559.2,165003.9,157889.6,152817.4,147862.5,145082.2,141292,139565.7,135825.1,134156.7,132033.5,131786.7,127703.2,125806,124020,122259.2,120394.5,120681,121129.7,121615.6,122005.3,120266.4,118863.7,117448.6,115980.8,116244.3,116661.9,117147.9,117764.4,115722.8,114060.7,112443.8,110635.8,108883.2,107201.2,105670.9,104080.7,101820,99854.4,97899,95618.6,93636,91902.1,90153.8,88325.3,85996.4,83798.6,81596.1
      Shares & Securities,389125.7,379495.5,374275.7,368355.7,360015,347013.5,330766.1,321016.8,305441.2,293379.7,290050.4,284079.6,267583.3,266919,275307.3,273401.5,268336.3,265726.7,256152.3,235227.6,217005.9,214698.4,196708,217059.4,201941.5,211728.7,203602.5,189931.9,199496.8,205547.4,210837.2,208123.3,200770.9,198161.5,193691.9,185793.5,184970.7,181344.4,178072.9,176528.6,171340.9,182555.4,183097,183069.6,182765.1,182236.4,176508.4,174563,173727.2,168897.9,171916.6,166205.5,161415.4,155402.4,159703.6,146391.7,147086.2,161100.8,163712.9,160796.2,154761.5,145964.5,145296.1,143378.9,137063.2,120057.8,98586.3,97397.9,109015.6,125759.7,132177,144255.9,150192.4,151445.5,139216.2,132875.4,127706.9,124594.8,126812.6,121948,121094.1,116789,114325.4,113108.1,111105.8,106118.7,102545.7,99194.2,95268.1,85353.9,76735.6,75573.5,75510.7,73060.7,77320.1,74862.9,74412.3,76796.6,76354.6,75458.9,76243.3,76589.7,77582.4,81615.4,76192.9,78134.1,70451.8,68823.9,61325.6,57549.9,59002.9,55460.3,59687.7,58419.1,57533.3,58473.5,57046.5,56184.6,54986.8,52582.5,49343.4,45591.2,42133
        Listed Shares,154243.1,152909.8,155714.3,150016,152810.5,145785.6,137094.5,134122.7,123828,118074.8,118418.4,113815.6,101263.1,99108.9,104050.6,99672.9,97078.1,98413.3,96306.3,90237.7,81567.8,82003.2,73530.5,90485.5,87630.8,90674.7,89190.7,85561.7,89962.5,89991.2,95659.3,95053.8,90556.5,90317.8,90378.8,83375.5,83186.2,83469.2,84207,83796.2,80615.7,89847.8,91407,91986.9,93393.7,95430.9,92968.6,91834.6,92990.9,90827.3,93461.6,88092.6,84000.5,79025.8,81965.2,70851.4,71429.5,82970.4,85208.7,83375.7,78203,72386.9,72399.4,71844.2,67282.1,54510.4,37272.6,37837.9,46813.4,57178.7,57217.1,66653.8,70793.2,71829,59882.4,53244.4,48429.5,46170.7,49241.9,44730.8,44388.9,41319.8,40092.1,39386.8,38863.4,37446.6,37444.1,35571.4,33187.2,26995.4,22099.4,22479.1,22668,20825.6,25692.6,23487.1,22906.1,24975.6,24218.9,23192.9,24037.9,24530.6,25669.6,29763.3,24285.1,26092.2,18275.6,16592.1,11296.7,12839.2,19610.4,18270.7,23288.8,23929.2,24952.3,26683.2,26206.5,27638.9,28735.5,27281.4,25518,25195.4,25194.2
        Unlisted Shares,38829.6,37882.8,37316,36798.4,36728.8,35877.9,35227,34957.4,35058.6,34570.2,34381.7,34282.9,34783.3,34423.3,34893.3,34763.7,34632,31841.3,31550.6,27718.9,27362.5,27354.4,26696.2,31089.8,30844.1,31675.2,31406.3,31460.5,31582.4,31603.3,31674.2,31746.1,31670.1,31486.6,31303.2,31227.2,31128.3,30889.4,30650.6,30551.6,30895.8,31726.8,32557.8,32902,32643.9,32020.8,31397.7,31139.6,31245.3,31500.4,31755.5,31861.2,32326.2,33449,34571.7,35036.8,35435.3,36397.3,37359.2,37757.7,37256.7,36047.1,34837.6,34336.6,34175.5,33786.7,33397.8,33236.8,33152.2,32947.9,32743.7,32659.1,33164.8,34385.6,35606.5,36112.2,36695.3,38102.9,39510.6,40093.6,40926.6,42937.5,44948.4,45781.3,45003.6,43126,41248.4,40470.7,40487.2,40527.1,40567,40583.5,40566.8,40526.5,40486.2,40469.5,41155.5,42811.7,44467.9,45153.9,45195.8,45297,45398.2,45440.1,45815.5,46721.9,47628.3,48003.8,45891.6,40792.3,35693,33580.8,32925.1,31342.1,29759.2,29103.5,28341,26500.1,24659.3,23896.8,22447.1,19082.1,15689.8
        Unit Trusts & Investment Funds,196053,188702.9,181245.4,181541.4,170475.7,165350,158444.5,151936.7,146554.5,140734.7,137250.3,135981.1,131536.8,133386.8,136363.4,138964.9,136626.2,135472.1,128295.4,117271,108075.6,105340.8,96481.4,95484.1,83466.6,89378.8,83005.5,72909.6,77952,83952.9,83503.7,81323.4,78544.3,76357.1,72009.9,71190.8,70656.2,66985.8,63215.4,62180.8,59829.4,60980.8,59132.2,58180.7,56727.5,54784.8,52142.1,51588.8,49491.1,46570.3,46699.5,46251.8,45088.6,42927.7,43166.7,40503.6,40221.4,41733.1,41144.9,39662.7,39301.8,37530.5,38059.2,37198.2,35605.6,31760.7,27915.9,26323.3,29050.1,35633.1,42216.2,44943,46234.4,45230.9,43727.3,43518.7,42582.2,40321.1,38060.1,37123.5,35778.6,32531.7,29284.9,27940,27238.8,25546,23853.3,23152.1,21593.7,17831.5,14069.2,12510.8,12275.9,11708.6,11141.3,10906.4,10350.7,9009.2,7667.8,7112.1,7009.6,6762.1,6514.6,6412.1,6092.3,5320.1,4547.9,4228,4137.3,3918.4,3699.6,3608.9,3473.9,3147.8,2821.8,2686.8,2499,2045.5,1592.1,1404.2,1378.3,1313.6,1249
      Life Insurance,319363.5,302580.1,292083.3,288343,288348.3,277030.5,274873.7,269236.4,254295,261001.2,256469.7,248692.1,243375,247589,258308.6,266826,266483.2,263750.6,250780.7,250075.9,236449.3,228903.7,211231.6,217602.1,207507.1,200664.7,194129,184898.2,185439,180507.9,177025.9,177313.5,169014.4,165295.7,159794.2,153843.1,153672,148413.3,145424.9,141756.4,138345.4,139879.1,140332.4,136665.7,132725,130662.8,126004.8,124339.1,121813.4,119135.3,121794.5,119720,117203.7,113727.2,113352.5,108533.9,107431,109694.6,108662.6,107262.3,106220.5,101244.3,100780.4,99232.5,96128.6,89607.7,82443.3,82835.6,88529.9,92229.2,93386.2,96797.3,96612.4,92716.2,86861.8,84240.3,80637.2,77302,77608.5,76572.1,75064.9,73279.7,69882.6,69837,65054.2,61147.9,58632.9,54747,53040.1,51104.4,48904.8,47513.2,45313.3,44546.7,43406.4,40962.8,37949.7,36800.6,33207.2,29488.5,28126.4,26807.7,25248.6,24141.9,22414.2,21231.8,19902,18972.7,18073.5,17459.4,17200.4,16261.7,16247.3,15612.6,14773.5,13628.2,12726.4,12039.2,11405,10833.9,10174.2,9680.5,9252.4
